"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,Navegação,"Toques em figurinhas","Cliques no link",Likes
17845488936644391,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Qual você usaria ? 😍  1 2",0,"01/10/2026 06:10",https://www.instagram.com/stories/megaeletronicosoficialpy/3807037200417249486,"Story do Instagram",,Total,10594,9630,,1,1,6,0,5012,,,12
17958922035042024,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Unissex L'haya Maharaja Oud Extrait U$ 25.00 preço sujeito a alteração",21,"01/10/2026 06:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3807035289928534937,"Story do Instagram",,Total,11284,10460,,5,1,5,0,5139,,5,16
18075403865058350,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Unissex L'haya Stellar D'or Extrait  U$ 25.00 preço sujeito a alteração",19,"01/10/2026 06:03",https://www.instagram.com/stories/megaeletronicosoficialpy/3807033649636917081,"Story do Instagram",,Total,12072,11118,,3,1,3,1,5223,,5,19
18024254198610963,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Unissex L'haya Caramel  U$ 25.00 preço sujeito a alteração  @antolesmaa",11,"01/10/2026 05:54",https://www.instagram.com/stories/megaeletronicosoficialpy/3807029075178002020,"Story do Instagram",,Total,13184,11964,,4,3,7,0,5267,,14,26
17961204597035158,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","@antolesmaa  Fragrâncias para todos os gostos ✨ Estamos no setor de perfumaria 💐",16,"01/10/2026 05:36",https://www.instagram.com/stories/megaeletronicosoficialpy/3807020290719957852,"Story do Instagram",,Total,18574,14182,,4,16,27,0,5564,,,50
18143930713406785,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Hoje é o dia perfeito pra fazer comprinhas na Mega! 
Esperamos vocês 🤩",13,"01/10/2026 05:31",https://www.instagram.com/stories/megaeletronicosoficialpy/3807017837094065974,"Story do Instagram",,Total,6963,6270,,1,2,29,4,6252,,,15
18088548203080624,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Dia de Seleção de Talentos Venha fazer parte do Grupo Mega! 🧑🏽‍💼👩🏼‍💼👨🏻‍💼",15,"01/09/2026 07:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3806358503930589201,"Story do Instagram",,Total,6728,5379,,14,,38,2,5404,,,19
18063815528559374,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/09/2026 06:29",https://www.instagram.com/stories/megaeletronicosoficialpy/3806322312212492376,"Story do Instagram",,Total,7088,6047,,16,,6,0,5307,,,9
18028850888781180,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/09/2026 06:29",https://www.instagram.com/stories/megaeletronicosoficialpy/3806322313831457544,"Story do Instagram",,Total,7134,6151,,3,,2,0,5404,,,6
18109066525646144,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/09/2026 06:29",https://www.instagram.com/stories/megaeletronicosoficialpy/3806322312246051549,"Story do Instagram",,Total,7187,6284,,4,,1,0,5233,,,6
17950860417067664,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,22,"01/09/2026 06:27",https://www.instagram.com/stories/megaeletronicosoficialpy/3806320987248592808,"Story do Instagram",,Total,7202,6439,,0,,9,0,5319,,29,10
